sample_id,hiseq_id,library,observed_stage,stage,sex,site_shrt,region,site,year,month,latitude,longitude,pcl,fl,tl
SC_850,ATL_2-23,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,397,446
SC_852,ATL_2-24,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,447,502
SC_855,ATL_2-25,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,428,481
SC_866,ATL_2-26,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,427,480
SC_800,ATL_2-27,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,462,519
SC_671,ATL_2-28,02,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.50382,-80.5359,NA,512,575
SC_867,ATL_2-29,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,420,472
SC_869,ATL_2-30,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,405,455
SC_870,ATL_2-31,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,475,534
SC_871,ATL_2-32,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,480,539
SC_787,ATL_2-33,02,NA,YOY,M,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,406,456
SC_682,ATL_2-34,02,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.44647,-80.37242,NA,530,595
SC_674,ATL_2-35,02,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.45648,-80.49908,NA,516,580
SC_660,ATL_2-36,02,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.50048,-80.54033,NA,515,578
SC_799,ATL_2-37,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,456,512
SC_673,ATL_2-38,02,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.46277,-80.45365,NA,544,611
SC_683,ATL_2-39,02,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.41042,-80.37648,NA,507,570
SC_664,ATL_2-40,02,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.34215,-80.76567,NA,508,571
SC_670,ATL_2-41,02,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.50127,-80.52822,NA,491,552
SC_677,ATL_2-42,02,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.45648,-80.49908,NA,503,565
SC_661,ATL_2-49,02,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.30055,-80.70873,NA,557,626
SC_727,ATL_2-50,02,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,OCT,32.15793,-80.58978,NA,556,624
SC_659,ATL_2-51,02,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.50048,-80.54033,NA,547,614
SC_680,ATL_2-52,02,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.3992,-80.36107,NA,546,613
SC_678,ATL_2-53,02,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.42867,-80.3802,NA,544,611
SC_665,ATL_2-54,02,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.27792,-80.7233,NA,543,610
SC_676,ATL_2-55,02,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.45648,-80.49908,NA,541,608
SC_675,ATL_2-56,02,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.45648,-80.49908,NA,539,605
SC_806,ATL_2-57,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,526,591
SC_831,ATL_2-58,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,525,590
SC_783,ATL_2-61,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,MAY,33.0095,-79.48533,NA,472,530
SC_814,ATL_3-01,03,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,457,514
SC_844,ATL_3-02,03,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,447,502
SC_847,ATL_3-03,03,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,449,505
SC_1540,ATL_3-39,03,NA,YOY,M,PRS,Atl,Port_Royal_Sound,2014,SEP,32.24543,-80.64273,492,542,608
SC_1562,ATL_3-43,03,NA,YOY,M,PRS,Atl,Port_Royal_Sound,2014,SEP,32.14618,-80.58158,486,547,613
SC_1564,ATL_3-44,03,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2014,SEP,32.12818,-80.59887,435,485,544
SC_662,ATL_4-02,04,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.34215,-80.76567,NA,516,580
SC_1373,ATL_4-04,04,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.03511,-79.54564,437,489,548
SC_1382,ATL_4-05,04,NA,YOY,M,BLB,Atl,Bulls_Bay,2014,JUL,33.03511,-79.54564,399,440,493
SC_1383,ATL_4-06,04,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,429,473,530
SC_1386,ATL_4-07,04,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,484,540,605
SC_1403,ATL_4-08,04,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,452,498,558
SC_1405,ATL_4-09,04,NA,YOY,M,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,440,485,544
SC_1408,ATL_4-10,04,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,454,505,566
SC_1565,ATL_4-12,04,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2014,SEP,32.12818,-80.59887,487,545,611
SC_1039,ATL_5-02,05,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.44173,-80.39292,492,542,608
SC_1040,ATL_5-03,05,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.4389,-80.40108,506,557,624
SC_1041,ATL_5-04,05,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.4389,-80.40108,527,580,650
SC_1044,ATL_5-05,05,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.44488,-80.40445,495,545,611
SC_1046,ATL_5-07,05,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.45493,-80.39465,534,588,659
SC_661,ATL_5-08,05,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.30055,-80.70873,NA,557,626
SC_1408,ATL_5-09,05,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,454,505,566
FL_1770_2,ATL_6-01,06,YOY,YOY,M,FBC,Atl,Fancy_Bluff_Creek,2017,AUG,30.93072,-81.44943,495,550,617
FL_1586_1,ATL_6-02,06,YOY,YOY,M,FBC,Atl,Fancy_Bluff_Creek,2017,MAY,31.11292,-81.46945,430,480,538
FL_1360_3,ATL_6-04,06,YOY,YOY,F,FBC,Atl,Fancy_Bluff_Creek,2016,JUN,31.06935,-81.52953,470,530,594
FL_1333_3,ATL_6-05,06,YOY,YOY,M,FBC,Atl,Fancy_Bluff_Creek,2016,MAY,31.15952,-81.44672,500,550,617
FL_1415-A_3,ATL_6-06,06,YOY,YOY,M,FBC,Atl,Fancy_Bluff_Creek,2016,JUL,30.96458,-81.50385,480,540,605
FL_1357_2,ATL_6-07,06,YOY,YOY,F,FBC,Atl,Fancy_Bluff_Creek,2016,JUN,30.97357,-81.42097,450,495,555
FL_1359_1,ATL_6-08,06,YOY,YOY,M,FBC,Atl,Fancy_Bluff_Creek,2016,JUN,30.96313,-81.50215,445,495,555
FL_1424_2,ATL_6-09,06,YOY,YOY,M,FBC,Atl,Fancy_Bluff_Creek,2016,JUL,31.15362,-81.44572,460,510,572
FL_1365_1,ATL_6-10,06,YOY,YOY,F,FBC,Atl,Fancy_Bluff_Creek,2016,JUN,31.10103,-81.43045,470,520,583
FL_1415-A_3,ATL_6-11,06,YOY,YOY,M,FBC,Atl,Fancy_Bluff_Creek,2016,JUL,30.96458,-81.50385,480,540,605
SC_1200,ATL_6-27,06,YOY,YOY,M,BLB,Atl,Bulls_Bay,2014,MAY,33.0095,-79.48533,436,480,538
SC_1879,ATL_6-28,06,YOY,YOY,F,BLB,Atl,Bulls_Bay,2015,JUL,33.03511,-79.54564,449,495,555
SC_1878,ATL_6-29,06,YOY,YOY,F,BLB,Atl,Bulls_Bay,2015,JUL,33.03511,-79.54564,426,469,526
SC_1876,ATL_6-30,06,YOY,YOY,F,BLB,Atl,Bulls_Bay,2015,JUL,33.03511,-79.54564,448,494,554
SC_1293,ATL_6-31,06,YOY,YOY,F,SHS,Atl,St._Helena_Sound,2014,JUN,32.48233,-80.48133,446,491,551
SC_1292,ATL_6-32,06,YOY,YOY,M,SHS,Atl,St._Helena_Sound,2014,JUN,32.48233,-80.48133,477,526,590
SC_1288,ATL_6-33,06,YOY,YOY,M,SHS,Atl,St._Helena_Sound,2014,JUN,32.48233,-80.48133,534,588,659
SC_1875,ATL_6-34,06,YOY,YOY,F,SHS,Atl,St._Helena_Sound,2015,JUL,32.48233,-80.48133,508,560,628
SC_1028,ATL_6-35,06,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.45648,-80.49908,525,578,648
SC_1029,ATL_6-36,06,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.45648,-80.49908,514,566,635
SC_922,ATL_6-37,06,YOY,YOY,F,SHS,Atl,St._Helena_Sound,2013,JUL,32.50048,-80.54033,517,569,638
SC_1906,ATL_6-38,06,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2015,AUG,32.25362,-80.6303,528,582,652
SC_1266,ATL_6-39,06,YOY,YOY,M,PRS,Atl,Port_Royal_Sound,2014,JUN,32.2278,-80.64022,435,479,537
SC_1905,ATL_6-40,06,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2015,AUG,32.25362,-80.6303,508,560,628
SC_804,ATL_6-41,06,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,457,514
SC_1281,ATL_6-42,06,YOY,YOY,M,BLB,Atl,Bulls_Bay,2014,JUN,33.03511,-79.54564,461,508,570
SC_729,ATL_6-43,06,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,OCT,32.50048,-80.54033,NA,548,615
SC_813,ATL_6-44,06,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,485,545
SC_816,ATL_6-45,06,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,442,497
SC_1845,ATL_6-46,06,YOY,YOY,M,BLB,Atl,Bulls_Bay,2015,JUN,33.03511,-79.54564,463,510,572
SC_1770,ATL_6-47,06,YOY,YOY,M,BLB,Atl,Bulls_Bay,2015,MAY,33.0095,-79.48533,457,504,565
SC_1844,ATL_6-48,06,YOY,YOY,F,BLB,Atl,Bulls_Bay,2015,JUN,33.03511,-79.54564,481,530,594
SC_1850,ATL_6-49,06,YOY,YOY,M,BLB,Atl,Bulls_Bay,2015,JUN,33.03511,-79.54564,431,475,533
SC_923,ATL_6-50,06,YOY,YOY,F,SHS,Atl,St._Helena_Sound,2013,JUL,32.50048,-80.54033,454,500,561
SC_1028,ATL_6-51,06,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.45648,-80.49908,525,578,648
SC_1910,ATL_7-52,07,NA,YOY,F,SHS,Atl,St._Helena_Sound,2015,AUG,32.49225,-80.48527,502,553,620
SC_1910,ATL_7-53,07,NA,YOY,F,SHS,Atl,St._Helena_Sound,2015,AUG,32.49225,-80.48527,502,553,620
SC_1907,ATL_7-54,07,NA,YOY,F,SHS,Atl,St._Helena_Sound,2015,AUG,32.50132,-80.49683,483,532,596
SC_1912,ATL_7-55,07,NA,YOY,M,SHS,Atl,St._Helena_Sound,2015,AUG,32.39172,-80.35647,508,560,628
SC_1913,ATL_7-56,07,NA,YOY,M,SHS,Atl,St._Helena_Sound,2015,AUG,32.38105,-80.3536,495,559,627
SC_1291,ATL_7-57,07,NA,YOY,UND,SHS,Atl,St._Helena_Sound,2014,JUN,32.48233,-80.48133,453,499,560
SC_1872,ATL_7-58,07,NA,YOY,M,SHS,Atl,St._Helena_Sound,2015,JUL,32.48233,-80.48133,495,545,611
SC_1874,ATL_7-59,07,NA,YOY,M,SHS,Atl,St._Helena_Sound,2015,JUL,32.48233,-80.48133,537,591,663
SC_1918,ATL_7-60,07,NA,YOY,F,SHS,Atl,St._Helena_Sound,2015,AUG,32.44752,-80.3852,490,540,605
SC_1917,ATL_7-61,07,NA,YOY,F,SHS,Atl,St._Helena_Sound,2015,AUG,32.45493,-80.39465,519,572,641
FL_1928_1,ATL_9-01,09,YOY,YOY,F,FBC,Atl,Fancy_Bluff_Creek,2018,MAY,30.92585,-81.45455,400,440,493
FL_2063_1,ATL_9-05,09,YOY,YOY,F,FBC,Atl,Fancy_Bluff_Creek,2018,JUL,31.23455,-81.32617,NA,561,630
FL_2106_3,ATL_9-08,09,YOY,YOY,M,FBC,Atl,Fancy_Bluff_Creek,2018,AUG,31.09518,-81.46108,430,470,527
FL_2064_1,ATL_9-10,09,YOY,YOY,UND,FBC,Atl,Fancy_Bluff_Creek,2018,JUL,31.23455,-81.32617,NA,588,660
FL_1931_1,ATL_9-14,09,YOY,YOY,M,FBC,Atl,Fancy_Bluff_Creek,2018,MAY,31.09928,-81.46078,450,510,572
FL_2064_3,ATL_9-18,09,YOY,YOY,UND,FBC,Atl,Fancy_Bluff_Creek,2018,JUL,31.23455,-81.32617,NA,615,690
GN_023201801009,EGM_10-01,10,YOY,YOY,M,APB,EGoM,Apalachicola_Bay,2018,MAY,29.66847,-85.22132,620,690,773
AB-18-111,EGM_10-02,10,YOY,YOY,M,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,460,520,650
AB-18-109,EGM_10-03,10,YOY,YOY,M,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,460,510,650
AB-18-113,EGM_10-04,10,YOY,YOY,M,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,470,520,640
AB-18-110,EGM_10-05,10,YOY,YOY,F,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,470,520,650
AB-18-112,EGM_10-06,10,YOY,YOY,M,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,470,520,660
AB-18-114,EGM_10-07,10,YOY,YOY,M,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,450,530,630
AB-18-074,EGM_10-08,10,YOY,YOY,F,APB,EGoM,Apalachicola_Bay,2018,JUL,29.64923,-85.03885,450,510,610
AB-18-124,EGM_10-09,10,YOY,YOY,F,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,460,510,640
AB-18-119,EGM_10-11,10,YOY,YOY,M,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,440,490,610
AB-18-128,EGM_10-12,10,YOY,YOY,F,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65189,-84.96194,450,500,630
AB-18-126,EGM_10-13,10,YOY,YOY,F,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65189,-84.96194,470,560,620
AB-18-107,EGM_10-14,10,YOY,YOY,M,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,460,510,645
AB-18-118,EGM_10-15,10,YOY,YOY,F,APB,EGoM,Apalachicola_Bay,2018,JUL,29.65876,-84.96178,440,510,610
2019-0613-01-02,EGM_10-33,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55905,-82.57105,430,480,600
2019-0613-01-04,EGM_10-34,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55905,-82.57105,440,490,600
2019-0613-01-03,EGM_10-35,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55905,-82.57105,440,480,600
AD_052312BL02016,EGM_1-04,01,YOY,YOY,M,MOB,EGoM,Mobile_Bay,2012,MAY,30.29029,-87.99451,710,790,790
AD_052312BL02017,EGM_1-05,01,YOY,YOY,F,MOB,EGoM,Mobile_Bay,2012,MAY,30.29029,-87.99451,600,670,670
AD051719BL01019,EGM_10-52,10,YOY,YOY,F,MOB,EGoM,Mobile_Bay,2019,MAY,30.24768,-87.98133,580,640,775
AD051719BL01028,EGM_10-53,10,YOY,YOY,F,MOB,EGoM,Mobile_Bay,2019,MAY,30.24768,-87.98133,595,655,797
AD061019BL01036,EGM_10-54,10,YOY,YOY,M,MOB,EGoM,Mobile_Bay,2019,JUN,30.2622,-87.99535,450,505,615
CA051519GN01001,EGM_10-57,10,YOY,YOY,F,MOB,EGoM,Mobile_Bay,2019,MAY,30.2455,-87.78915,425,470,560
2019-1014-05-08,EGM_10-61,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,530,600,700
2019-1014-05-07,EGM_10-62,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,530,590,740
2019-1014-05-06,EGM_10-63,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,530,590,720
2019-1014-05-05,EGM_10-64,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,540,600,740
2019-1014-05-01,EGM_10-65,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,540,600,710
2019-0624-05-02,EGM_10-66,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.56847,-82.56835,460,510,620
2019-0624-06-03,EGM_10-67,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.57201,-82.56354,430,480,580
2019-0624-07-03,EGM_10-69,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.56019,-82.5855,420,480,590
2019-0624-07-02,EGM_10-70,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.56019,-82.5855,450,500,610
2019-0624-07-04,EGM_10-71,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.56019,-82.5855,470,530,660
2019-0703-03-01,EGM_10-72,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUL,27.53405,-82.60208,450,500,600
2019-0606-02-04,EGM_10-73,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55894,-82.5711,460,520,610
2019-0606-02-03,EGM_10-74,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55894,-82.5711,430,470,580
2019-0606-04-01,EGM_10-75,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55898,-82.57104,420,470,570
BB-16-472,EGM_10-76,10,YOY,YOY,M,WAB,EGoM,Waccasassa_Bay,2016,AUG,29.06584,-82.88589,470,525,670
BB-16-465,EGM_10-77,10,YOY,YOY,M,WAB,EGoM,Waccasassa_Bay,2016,AUG,29.06528,-82.87471,440,490,620
BB-16-489,EGM_10-79,10,YOY,YOY,M,WAB,EGoM,Waccasassa_Bay,2016,AUG,28.99463,-82.82993,440,490,520
BB-16-490,EGM_10-80,10,YOY,YOY,M,WAB,EGoM,Waccasassa_Bay,2016,AUG,28.99463,-82.82993,480,540,570
BB-16-469,EGM_10-81,10,YOY,YOY,M,WAB,EGoM,Waccasassa_Bay,2016,AUG,29.06584,-82.88589,470,520,650
